run number,density,similar-wanted,step,percent-similar
183,40,64,28,99.07450254511801
184,40,64,30,98.4034833091437
186,40,66,31,98.82131070249882
187,40,66,23,98.79396984924624
185,40,66,37,98.36651352730985
188,40,66,23,98.81539980256665
191,40,66,18,98.86831275720165
190,40,66,24,98.90795631825273
192,40,66,22,98.72408293460924
189,40,66,33,99.06908378245957
195,40,68,47,99.95625546806649
193,40,68,53,99.78902953586498
194,40,68,46,99.70575872215215
196,40,68,48,99.79184013322231
197,40,68,51,99.87041036717062
200,40,68,54,99.69631236442517
198,40,68,75,99.78982765868012
201,40,70,67,99.73626373626374
202,40,70,51,99.72875226039784
203,40,70,47,99.79330301777594
204,40,70,48,99.86181483187471
205,40,70,51,99.61389961389962
206,40,70,50,99.9113867966327
207,40,70,48,99.830220713073
208,40,70,43,99.74672857745884
209,40,72,52,99.87118935165307
210,40,72,53,99.62437395659433
211,40,72,55,99.83825313384554
213,40,72,47,99.87124463519314
212,40,72,71,99.79355904211396
214,40,72,60,99.91181657848325
216,40,72,49,99.73969631236443
215,40,72,51,99.86654804270462
217,40,74,66,99.78137297770004
218,40,74,54,99.9140524280189
219,40,74,55,99.82094897045658
222,40,74,42,99.90610328638498
221,40,74,48,99.8276604911676
220,40,74,57,99.66791199667911
225,42,20,7,62.77805239742956
226,42,20,5,62.02723146747352
227,42,20,10,59.79212253829321
223,40,74,47,99.6560619088564
228,42,20,9,63.71329019412643
229,42,20,6,63.297350343473994
230,42,20,4,60.05089058524173
224,40,74,52,99.91759373712402
231,42,20,5,61.2415232133542
232,42,20,8,61.339198435972634
233,42,22,7,70.19334049409237
234,42,22,8,65.44622425629291
235,42,22,7,68.46307385229541
236,42,22,6,66.75632060247445
237,42,22,9,67.81671159029649
238,42,22,8,68.10016330974415
240,42,22,7,64.14066369489846
239,42,22,8,67.92349726775956
241,42,24,7,66.47214854111407
242,42,24,10,67.07188160676533
244,42,24,7,68.22233875196643
243,42,24,8,68.26232647199618
246,42,24,7,64.31246655965757
245,42,24,7,67.66345666497719
247,42,24,7,66.78517013712545
248,42,24,10,66.01168348380244
249,42,26,8,76.61555312157722
251,42,26,9,75.2840909090909
250,42,26,13,76.58163265306122
252,42,26,10,76.6842105263158
253,42,26,9,77.81266352694925
254,42,26,9,74.90555855369671
255,42,26,9,75.85315408479835
256,42,26,10,74.78768577494692
257,42,28,10,73.9938080495356
259,42,28,8,76.54653039268425
258,42,28,8,74.54811919882755
260,42,28,9,76.58898305084746
261,42,28,10,75.81837381203802
199,40,68,55,99.69378827646544
262,42,28,9,76.64509169363538
264,42,28,9,75.41580041580042
263,42,28,12,77.9471544715447
267,42,30,9,77.80093798853571
266,42,30,12,76.77801724137932
268,42,30,7,76.8990634755463
